2Theta,Count
78.2924290711,873.439057709
78.4756256101,873.188360993
78.6729630229,869.619007446
78.8602815358,864.149609276
79.0416650347,855.636117707
80.0443398206,860.442076485
81.0204229074,848.795838201
81.9825122227,850.930209765
82.9272892542,845.821056627
83.8615452035,845.062207486
84.7736173589,845.436576
85.6640389148,848.008928307
86.550726417,843.513539598
87.4166000587,840.248740191
88.2754290979,848.500014105
89.1114952153,853.285383681
89.1327877052,849.186542251
89.1576587597,854.50865175
89.1817796341,858.27326932
89.202386554,861.210065452
89.2243732729,863.504274684
89.246151242,859.519630167
89.2655696646,863.988006728
89.2895892325,866.555916905
89.3111503314,863.80630187
89.3333194346,861.71117705
89.3624699516,859.18014678
89.3876619246,858.07619542
89.4122423629,855.438988809
89.4380280718,847.36251347
89.4668122581,846.581852558
89.491912239,845.520014327
89.5184241329,851.156015715
89.5446716099,847.20176599
89.566591434,844.691333155
89.5918326593,850.137930443
89.6165069755,848.937129628
89.6387319171,847.447921756
89.6598620858,846.314472745
89.6782825463,846.962987894
89.6993797358,851.26495455
89.7203267366,848.960170279
89.7408714936,847.721650213
89.7617271858,846.913999059
89.7852928139,846.400822456
89.8089327967,846.569039071
89.8284182785,838.471455885
89.8516469111,838.972240723
89.8753853308,839.614470456
89.9012827457,846.394900121
89.9279549226,848.794428976
89.9513324233,848.905716909
89.9765656937,853.294324561
90.0031541475,854.584945641
90.0257239053,848.483941759
90.0463205911,850.059605768
90.0728193641,855.178223101
90.0982476797,859.248578653
90.1177229611,854.90977408
90.1395238186,857.038542585
90.1570846709,847.714159479
90.1769042005,841.075222252
90.1937438047,827.220704065
90.2094430568,824.029305769
90.224809446,822.401503099
90.2429560041,829.590688693
90.2593070738,827.151655476
90.2740316702,826.104787369
90.2891575153,823.040842796
90.3070818997,829.327408216
90.3199844375,826.577053266
90.3370207612,823.60809907
90.3564442757,828.753717385
90.3764232195,834.109079616
90.3932842055,827.872745635
90.4123023572,830.668742186
90.4296537963,818.046503294
90.4497483834,816.088474664
90.467556586,806.92285471
90.4869635423,809.866233696
90.5050481089,808.810562629
90.5262274855,806.855524987
90.5469143336,808.145713605
90.5617430876,803.763930739
90.5803000364,810.288345862
90.6009931289,812.40903829
90.6203972527,814.97568149
90.6397954035,816.747929741
90.6591999452,819.370158704
90.6794700301,822.523767281
90.6993369678,825.259389092
90.7199758518,820.170345549
90.7407962755,822.038215134
90.7617204104,824.808760639
90.7834972729,836.023249871
90.8042248724,834.139439175
90.8252457953,836.891884638
90.8474827052,835.630329713
90.8662408513,838.221349562
90.8889331728,844.514972047
90.9103149158,852.286798402
90.9272744916,848.932029982
90.947663962,853.640676173
90.9674356541,862.124206072
90.9876975217,871.346535943
91.0112889546,878.357772725
91.0335959232,888.869434737
91.0524380971,902.636147154
91.0735135402,906.501239666
91.1013999582,920.000902771
91.1191823054,921.719747917
91.1411582368,922.579231727
91.1670556208,929.355534664
91.1912247869,940.225002973
91.2115869267,941.298690461
91.2340950939,951.560246029
91.2575759443,959.210320061
91.2772523415,963.613579042
91.3025004447,969.974934149
91.3232576643,980.624539613
91.3451805309,998.98051575
91.369203331,1014.2553496
91.3906516688,1030.88427842
91.4075495299,1043.87556254
91.4258781586,1056.18250984
91.4498504244,1081.92415976
91.467580108,1095.05432997
91.4823238991,1100.85732805
91.4989298485,1109.40012209
91.5152088363,1126.02065085
91.5334382064,1144.22384156
91.5487868039,1155.78066572
91.5657349821,1175.46412547
91.5821882116,1190.70469301
91.6012402966,1203.7431087
91.6200247856,1222.11477605
91.6369217779,1234.99051182
91.651868946,1246.35780941
91.6701879457,1276.48173885
91.6858597345,1298.28419328
91.7028142476,1318.81019312
91.7181003624,1332.28770101
91.733548047,1352.93076114
91.7469450318,1364.37822801
91.7604455416,1396.96075328
91.7746937001,1429.94562793
91.7876585545,1457.58209279
91.8005454232,1484.66808703
91.8191607629,1525.55877513
91.8329036085,1548.62996402
91.8521723587,1590.48485586
91.866258163,1616.19986378
91.8784170755,1643.45642867
91.8915968098,1677.57322109
91.9069860988,1713.36683809
91.9241567583,1745.45242724
91.9411911815,1776.6064686
91.954526222,1797.00321646
91.9640257614,1808.18221584
91.9774688849,1832.3138891
91.9932128914,1863.72130063
92.006675385,1878.15214158
92.020101637,1902.08608309
92.0338273482,1922.87840162
92.0482113448,1945.28327855
92.0606655173,1968.83973675
92.0684928324,1978.59992395
92.0803378421,2007.07712039
92.0952386621,2036.83423207
92.1140736716,2078.29453641
92.1239438407,2089.65906475
92.1389298761,2106.19570692
92.1540074886,2134.91210873
92.1661433239,2150.50548102
92.184509974,2186.96691683
92.2001238439,2201.06614751
92.2187363238,2212.9300243
92.2401874611,2229.9312756
92.2582642991,2227.84770561
92.2797899898,2230.2104523
92.2974623965,2231.630447
92.3169286022,2242.45398314
92.3340752646,2239.42761531
92.3523677883,2226.96687691
92.3707100038,2225.80275762
92.3873544694,2205.09243788
92.4044608647,2184.43348503
92.4169445759,2183.27212269
92.4316508976,2162.60684822
92.445817155,2156.0524184
92.4572878271,2134.7427169
92.4706277617,2104.2267508
92.4858977376,2072.58809052
92.4944833466,2060.4307962
92.5075814597,2036.81591882
92.5235608913,2001.31842128
92.5344802471,1992.62305272
92.5453247169,1978.06018064
92.5605232352,1936.91766807
92.5722431152,1909.68925772
92.5855521356,1875.06169595
92.598682838,1851.09359167
92.6128050046,1838.67508277
92.6268602023,1817.34972142
92.6452864004,1775.79164021
92.6586604348,1749.81094709
92.6695079867,1743.84270073
92.6879345467,1702.33276466
92.7047102531,1670.43100382
92.7206797454,1645.88863434
92.734507835,1633.42124314
92.7497697475,1600.71014968
92.7602694442,1587.76374697
92.7742570578,1557.44968643
92.7863832279,1537.38182568
92.7973110906,1529.81786811
92.8088261069,1514.40594729
92.8230222288,1483.17702756
92.8325574152,1462.26591721
92.8440024763,1437.54994645
92.8554684425,1415.61435802
92.8720144458,1381.80855792
92.8877478058,1362.69176113
92.9058380738,1324.19908996
92.9179706512,1304.98339834
92.9349693094,1274.08776974
92.951500109,1238.2598734
92.9681400497,1216.9477393
92.9877468446,1189.17671816
93.006320461,1167.22526716
93.0210581253,1150.72856013
93.0394598371,1130.46791607
93.0544411593,1112.00195083
93.0695092462,1102.62027862
93.0853059227,1093.28870149
93.1039588839,1069.61306052
93.1189338532,1056.03144086
93.1354236958,1039.31037743
93.1508305052,1025.87058324
93.1637059387,1019.51536031
93.1793795375,1012.91207583
93.1980246331,1000.46736584
93.213653324,991.9836839
93.2282614489,992.633993089
93.2411353891,986.080171416
93.2562262769,969.686154064
93.2735631535,967.404160909
93.2900552198,965.488094576
93.3076444318,959.935539952
93.3256213958,944.568723529
93.3429422283,927.875812342
93.3577260468,911.788318793
93.3756462347,901.147336017
93.3944278071,894.576978477
93.4151816542,876.131566995
93.4395033523,862.408334715
93.4616288711,856.376631545
93.4816175421,850.748666415
93.5044458237,839.967961789
93.526398491,837.733317396
93.5451273157,836.424580226
93.5698617615,835.854798685
93.5965550142,835.532731534
93.617978209,836.540579626
93.6441045487,824.65977602
93.6671398906,823.188527858
93.6888401167,817.067361985
93.7160298824,811.574597844
93.7424440122,801.138706159
93.7669336512,792.563734265
93.7942293561,784.791468691
93.8249936301,775.903121353
93.8539179218,767.838237049
93.8810821488,768.156624897
93.9101105963,761.667419081
93.933570798,763.501949538
93.9587216064,756.923092388
93.9836605629,761.231304553
94.0072270289,762.689740885
94.0293462339,758.050503346
94.0526515989,763.845861555
94.0773393208,762.518271758
94.0990543445,761.415841978
94.1202773491,760.352503887
94.1397418172,749.460094837
94.1641508644,742.443464351
94.1863021662,742.073096636
94.2095676395,742.562859493
94.234693977,732.729390312
94.2546469785,727.04498064
94.2763956055,722.227092021
94.298712728,719.356757913
94.3177502729,720.912521927
94.3395652576,721.199881659
94.3615934548,729.010722477
94.3871456153,736.748343508
94.4080310427,739.8954724
94.4330162617,735.847348685
94.4595301026,738.673038123
94.4824794559,740.088543495
94.5074227514,740.28623761
94.5349325453,746.664582886
94.5584494594,743.764796979
94.5817176838,744.620462964
94.6081709977,747.208736926
94.6302826836,741.569455877
94.652214658,736.58265973
94.6795839972,740.463923483
94.7032677831,745.025620545
94.7232735583,741.672513677
94.7510650778,746.457006905
94.7737335693,753.487592245
94.7960223296,752.983613899
94.8218703014,753.188104082
94.8488913496,754.720853026
94.8731956721,755.874532411
94.8972203597,756.891160494
94.9273531995,764.470700731
94.9496712049,763.949982815
94.9708597761,763.217831942
94.9974171829,771.837789987
95.0165667758,779.615189507
95.0411418695,782.405682308
95.0646448226,785.833802696
95.0885806538,789.541764648
95.1062069908,796.293072651
95.128459606,799.575740634
95.1514552492,803.241470767
95.1691611072,800.925774198
95.1878849157,798.949882829
95.2128168627,797.638226542
95.2327564836,785.486593806
95.2526490453,767.076091781
95.2726894814,768.33288287
95.2911901385,765.32432211
95.3089299838,767.528939134
95.334740082,762.696243167
95.3529278711,758.181282374
95.372957918,758.056307705
95.3947185115,767.107016411
95.4180328177,774.091559785
95.4357862145,780.553936083
95.4588544012,789.180350647
95.4846916218,805.14280871
95.5082745997,804.890984245
95.5354412689,808.603443967
95.5623154149,810.241493952
95.5856103816,814.653882773
95.6094360038,820.891933088
95.6365150434,830.137534803
95.657838059,830.098613251
95.6798726213,829.207184712
95.7062539183,831.592406857
95.7284824519,831.672218844
95.7447138465,824.774985429
95.7663878512,828.447902781
95.7841703341,830.184802358
95.804218354,832.450234306
95.8216068069,824.750836837
95.842950601,827.475446802
95.8601522109,820.707749177
95.8815802047,817.443041869
95.905281289,816.666377849
95.925158647,813.42165838
95.9471154138,811.732257793
95.9736618161,818.888603328
95.9975405065,814.996853607
96.0258096182,819.237189406
96.0497228247,819.936079583
96.0770618382,823.132318501
96.1061332544,822.357941799
96.1339943088,823.890295446
96.1595678532,821.971706215
96.1817228387,829.457506466
96.2095387887,833.584914018
96.2344960235,838.091951495
96.2635464079,834.520341672
96.2907296654,840.439052819
96.3143096594,838.562669145
96.3389033234,843.823008057
96.3642810754,841.757448899
96.3875404309,841.433558749
96.4071834343,841.395427791
96.4279887629,841.255644688
96.4506081862,841.760155164
96.4691871042,845.067936814
96.4868893668,842.274055753
96.5037116617,845.215040152
96.5230853418,843.732676373
96.5428670766,843.321010014
96.5615206972,832.010118267
96.5819019502,841.764397729
96.600300831,843.449141597
96.6220178838,844.2535406
96.6438708364,845.944712422
96.6684106719,844.04586777
96.6915173528,841.831829863
96.7156739095,846.249831395
96.7370389073,851.794543427
96.75582728,858.405683166
96.7741627987,862.08017157
96.7981633361,874.394078795
96.8186773271,877.248383827
96.8436117225,880.949967122
96.8707230315,889.799799131
96.8922392649,898.270953193
96.916021484,898.736400216
96.9428947574,906.396914143
96.9731326708,917.534343988
96.9976786873,916.457577745
97.0279051268,921.976626241
97.0591018074,934.585648022
97.0862836351,940.314185833
97.1157155762,950.658456938
97.1429714738,966.238294527
97.164692768,972.294382902
97.1905749482,977.048589607
97.2140866857,993.103618121
97.23289533,1002.41088617
97.2521924135,1015.29529349
97.2762843001,1039.75862891
97.2958015468,1057.37063098
97.3157970596,1069.84048795
97.3353517727,1092.43551287
97.354095284,1105.35714943
97.3677291695,1113.93664866
97.3888927829,1139.57326291
97.4091193561,1165.5862893
97.4273233987,1180.42092446
97.452068014,1205.75779025
97.4717708083,1223.49350725
97.4879908907,1232.27961674
97.5061911531,1246.61147899
97.5223629274,1266.16049721
97.5429338619,1275.47218816
97.5611684929,1294.37508836
97.5832763107,1312.77545456
97.6016207991,1318.51099607
97.6208214825,1322.66653053
97.640978752,1339.46216826
97.6587578865,1344.6600613
97.6770678329,1349.02579095
97.7011582172,1356.10144522
97.7219676536,1349.14176115
97.7429873186,1343.13296283
97.7580566447,1347.3092619
97.7773280254,1332.22107919
97.7953558857,1323.62347062
97.8148625864,1320.73520094
97.8361947605,1310.45576578
97.854113353,1287.32554418
97.8718065141,1273.27629231
97.8934856383,1259.2145352
97.9137991262,1245.22357535
97.9340399894,1234.07380706
97.9546692805,1227.70891709
97.9788742409,1205.82579601
97.9982316313,1202.17690055
98.0207179495,1184.97843997
98.0405795608,1162.45152776
98.060963684,1155.39965068
98.0844510462,1146.33727788
98.1030937164,1133.56999539
98.1210454133,1114.84264761
98.1359922013,1108.97151401
98.1562883102,1097.35675266
98.1749143287,1082.37479335
98.189902415,1074.63009962
98.2090150688,1055.61911103
98.2251658992,1042.91765346
98.2462409854,1027.09199857
98.2633243941,1015.65288507
98.279126912,1007.96627026
98.3009597413,989.793174491
98.3207350171,984.430109035
98.3419051266,964.054676807
98.3586606337,958.112881328
98.3803743852,941.29031779
98.4003271103,930.881539426
98.4223314992,918.337995047
98.4467384314,911.040059337
98.4675159589,907.202728837
98.492611708,893.300994619
98.5181985738,887.424853919
98.5414443244,885.291508608
98.5661864058,881.644893711
98.5945981972,879.079821563
98.6210138172,868.842127406
98.6437677211,870.044681719
98.6725149358,860.5272677
98.697042536,857.001117032
98.7205879488,855.659475302
98.7477149646,854.098035228
98.7735306465,850.007978175
98.8014877016,844.255899921
98.8292768037,844.812542302
98.8567384706,836.196050707
98.8825746776,834.835823567
98.910322621,829.918362576
98.9373917782,820.661722952
98.9596389635,823.222213709
98.9761722247,822.097461956
98.9888060809,822.675825708
98.9959156955,822.92123082
98.9959156955,822.92123082
98.9888060809,822.675825708
98.9761722247,822.097461956
98.9596389635,823.222213709
98.9373917782,820.661722952
